year,city_name,city_code,index_aggregate,coverage_breadth,usage_depth,payment,insurance,monetary_fund,investment,credit,credit_investigation,digitization_level,city_norm,source_name_version
2011,宁波市,3302,81.77,98.61,84.13,97.73,93.93,,,78.52,,21.85,宁波,year14
2011,安庆市,3408,42.34,34.35,65.38,56.97,34.94,,,79.03,,26.82,安庆,year14
2011,安康市,6109,40.94,38.62,20.39,43.2,43.73,,,8.1,,85.94,安康,year14
2011,安阳市,4105,45.12,37.88,41.83,42.0,18.31,,,51.62,,75.02,安阳,year14
2011,安顺市,5204,32.25,31.21,37.91,43.64,64.42,,,26.21,,25.43,安顺,year14
2011,定西市,6211,19.53,1.88,16.57,36.56,0.0,,,21.24,,83.23,定西,year14
2011,宜宾市,5115,49.03,38.47,64.45,68.06,90.42,,,53.21,,55.9,宜宾,year14
2011,宜昌市,4205,63.97,63.65,63.45,62.13,45.84,,,70.95,,65.96,宜昌,year14
2011,宜春市,3609,42.13,28.17,57.25,57.12,52.73,,,59.14,,60.78,宜春,year14
2011,宝鸡市,6103,49.34,47.85,48.32,30.41,48.82,,,50.12,,56.13,宝鸡,year14
2011,宣城市,3418,56.03,53.03,67.57,63.56,54.38,,,73.52,,44.98,宣城,year14
2011,宿州市,3413,35.41,19.77,55.39,48.0,23.35,,,69.58,,50.73,宿州,year14
2011,宿迁市,3213,50.35,48.47,65.15,81.68,14.79,,,84.3,,29.65,宿迁,year14
2011,山南地区,5422,43.46,18.01,58.6,0.0,74.33,,,,,100.0,山南,year14
2011,岳阳市,4306,44.07,32.69,64.98,61.18,71.75,,,62.59,,43.65,岳阳,year14
2011,崇左市,4514,40.63,27.65,50.94,55.77,37.02,,,56.21,,64.76,崇左,year14
2011,巴中市,5119,25.77,9.45,45.82,36.74,39.48,,,49.48,,43.2,巴中,year14
2011,巴彦淖尔市,1508,47.37,49.77,31.18,41.69,65.18,,,15.82,,68.87,巴彦淖尔,year14
2011,巴音郭楞蒙古自治州,6528,47.84,51.03,56.05,41.05,59.0,,,56.5,,22.37,巴音郭楞蒙古,year14
2011,常州市,3204,78.45,93.76,84.94,90.82,94.28,,,80.38,,16.14,常州,year14
2011,常德市,4307,42.63,29.09,67.25,55.16,54.08,,,74.09,,42.58,常德,year14
2011,平凉市,6208,28.31,17.3,42.04,8.72,3.42,,,61.88,,39.73,平凉,year14
2011,平顶山市,4104,38.13,40.08,32.78,40.13,12.67,,,40.35,,41.4,平顶山,year14
2011,广元市,5108,40.68,35.12,49.56,32.76,43.96,,,53.78,,42.91,广元,year14
2011,广安市,5116,42.46,24.15,51.31,55.83,41.91,,,54.73,,86.82,广安,year14
2011,广州市,4401,82.11,90.52,79.53,83.51,53.14,,,90.1,,59.03,广州,year14
2011,庆阳市,6210,34.62,24.12,40.67,8.6,21.12,,,52.41,,58.29,庆阳,year14
2011,廊坊市,1310,62.22,66.85,66.85,52.1,53.28,,,74.17,,38.54,廊坊,year14
